target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
FYN,ENSG00000010810,membrane,,vesicles
G3BP1,ENSG00000145907,nucleoplasm;cytoplasmic,,
G3BP2,ENSG00000138757,cytoplasmic,,nucleoplasm
G6PD,ENSG00000160211,cytoplasmic;vesicles,,
GAK,ENSG00000178950,vesicles,golgi;cytoplasmic,
GAPDH,ENSG00000111640,cytoplasmic,nucleoplasm,
GAR1,ENSG00000109534,nucleolus_fc_dfc,,
GATAD1,ENSG00000157259,nucleoplasm,chromatin,
GBF1,ENSG00000107862,golgi,cytoplasmic,vesicles
GDI1,ENSG00000203879,cytoplasmic,,nucleoplasm
GDI2,ENSG00000057608,cytoplasmic,vesicles,nucleoplasm
GET4,ENSG00000239857,nucleoplasm;cytoplasmic,,
GGPS1,ENSG00000152904,cytoplasmic,,nucleoplasm
GJA1,ENSG00000152661,cell_contact,,vesicles
GLUL,ENSG00000135821,cytoplasmic,nucleoplasm,
GNB1,ENSG00000078369,membrane;vesicles,,er
GNL2,ENSG00000134697,nucleolus_gc,,
GNL3,ENSG00000163938,nucleolus_gc,,
GOLGA2,ENSG00000167110,golgi,,
GOLGA7,ENSG00000147533,membrane;vesicles,,
